Position;Artikel;Menge;Status;Guenstigster_Haendler;Einzel_EUR;Gesamt_EUR;Confidence;Outlier;Min_EUR;Median_EUR;Max_EUR;Haendler_Anzahl;Anmerkung
Pos 11;Ideal Standard Ceraplan Kuechenarmatur Ausladung 219 mm Chrom;1;success;obi.de;139,49;139,49;low;PRODUKTZUORDNUNG UNSICHER;85,67;149,74;160,60;4;Ausladung 219 mm nicht bestaetigt – auf Produktseite verifizieren (EAN 3800861104834)
Pos 12;Wilo Stratos MAXO 30/0,5-10 PN10 Nasslaeufer-Pumpe G2;1;success;pumpen-kiste.de;659,90;688,94;high;NEIN;688,94;880,89;943,02;4;EAN 4048482781679 bestaetigt – pumpen-kiste.de 27% unter Marktmedian
Pos 13;Stiebel Eltron SNU 5 Plus Kleinspeicher 5 Liter 2 kW 230 V;2;success;testbericht.de;147,00;294,00;high;NEIN;147,00;160,12;173,76;4;EAN 4017212049723 bestaetigt – testbericht.de hoechste Konfidenz 0,90
Pos 14;MEPA ellipse Betaetigungsplatte 2-Mengen Chrom glaenzend;3;success;Amazon.de;42,37;127,11;low;PRODUKTZUORDNUNG UNSICHER;n/a;n/a;n/a;1;Treffer zeigt MEPAorbit nicht ellipse – Neusuche mit MEPA ellipse 421800 empfohlen
Pos 15;Multipower MP26-12 Bleiakku 12V 26Ah;4;no_results;—;n/a;n/a;—;—;—;—;—;0;Neusuche: MP26-12 oder Yuasa NP26-12 – Conrad/Reichelt/Akkushop.de manuell pruefen
Pos 16;Leitz Qualitaetsordner 180 Grad A4 grau;50;success;bueroshop24.de;7,73;386,50;low;PRODUKTZUORDNUNG UNSICHER;7,73;8,18;8,39;4;Treffer zeigt Active Wow-Variante – fuer Leitz 1050 grau direkt bei bueroshop24/staples suchen
Pos 17;Leitz Qualitaetsordner 180 Grad A4 grau;30;success;bueroshop24.de;7,73;231,90;low;PRODUKTZUORDNUNG UNSICHER;7,73;8,18;8,39;4;Identisch Pos 16 – Mengenrabatt bei 80 Stk. gesamt anfragen
Pos 18;Staedtler Noris Bleistift HB 12er Set;20;success;rhinozeros-versand.de;6,70;134,00;high;AUSREISSER: buero-bedarf-thueringen.de 0,31 EUR (anderes Produkt);3,62;6,70;7,71;3;rhinozeros-versand.de einziger high-confidence Treffer fuer exaktes HB 12er Set
Pos 19;HP 301 Tintenpatrone Combo Pack schwarz + farbig;8;success;MediaMarkt;59,00;472,00;high;AUSREISSER: Conrad 149,99 EUR (Kategorieseite 10x MAD);25,64;38,73;59,00;3;MediaMarkt einziger high-confidence Treffer – 25,64 EUR (Amazon) ist Kompatibel-Patrone
Pos 20;Bosch MUM5 Styline Kuechenmaschine MUM58720;1;success;Amazon.de;219,00;219,00;high;NEIN;207,00;219,00;223,05;4;EAN 4242002903880 – otto.de 207 EUR günstiger aber URL zeigt MUM58W20 (abweichende Variante)
Pos 21;Miele Ultraphase Waschmittel 2-Komponenten Fluessig;6;success;Saturn;82,00;492,00;high;NEIN;15,00;46,12;82,00;3;Saturn 82 EUR = vollstaendiges 2-Komponenten-Set; otto.de 74,75 EUR nicht vorraeetig
Pos 22;Gardena PowerMax 1200/32 Elektro-Rasenmaeher;1;success;obi.de;89,99;89,99;high;NEIN;89,99;96,28;99,99;4;EAN 4078500062022 – obi.de JSON-LD Konfidenz 0,90 auf Lager
Pos 23;Miele Ultraphase Waschmittel 2-Komponenten Fluessig;6;success;Saturn;82,00;492,00;high;DUPLIKAT von Pos 21;15,00;46,12;82,00;3;Identische Anfrage wie Pos 21 – bitte Duplikat in Bestellliste klaeren
Pos 24;Chateau Margaux 2015 Bordeaux Premier Grand Cru Classe;6;success;gute-weine.de;1650,00;9900,00;high;AUSREISSER (Singleton-Cluster statistisch);1650,00;1650,00;1650,00;1;Marktpreis 500-700 EUR/Flasche – gute-weine.de koennte Kisten-Preis sein; Einheit klaeren
Pos 25;LEGO Technic 42131 Cat D11 Bulldozer ferngesteuert;3;success;billiger.de (Neuware);599,90;1799,70;high;NEIN;259,00;524,94;683,04;4;EAN 5702016912937 – kleinanzeigen.de 259 EUR ist Gebrauchtmarkt (Zustand pruefen)
